playerID,Name,Position,Club,Division,Based,Nation,Height,Weight,Age,preferredFoot,bestPos,bestRole,Value,Wage
1116,Gianluigi Donnarumma,GK,Milan,Italian Serie A,Italy (Serie A),ITA,196,90,20,Right Only,GK,SK,29000000,185000
1294,Paulo Dybala,"AM (RC), ST (C)",Juventus,Italian Serie A,Italy (Serie A),ARG,176,75,25,Left,ST (C),AF,62000000,225000
8015,Rodrygo,"AM (L), ST (C)",R. Madrid,Spanish First Division,Spain (First Division),BRA,171,62,18,Right,AM (L),IW,6000000,71000
189,Hakan calhanoglu,"M (LC), AM (RLC)",Milan,Italian Serie A,Italy (Serie A),TUR,178,69,25,Right,AM (L),IW,38500000,77000
1257,Alisson,GK,Liverpool,English Premier Division,England (Premier Division),BRA,191,91,26,Right,GK,SK,55000000,120000
392,Arjen Robben,M/AM (RL),FC Groningen,Eredivisie,Holland (Eredivisie),NED,180,75,35,Left Only,M (R),IW,975000,10000
3635,Bernardo Silva,M/AM (RC),Man City,English Premier Division,England (Premier Division),POR,173,65,24,Left,AM (R),IW,73000000,150000
5553,Declan Rice,"D (C), DM, M (C)",West Ham,English Premier Division,England (Premier Division),ENG,185,80,20,Right,DM,DLP,22000000,30000
6054,Ederson,GK,Man City,English Premier Division,England (Premier Division),BRA,188,86,25,Left Only,GK,SK,52000000,100000
8191,Giovanni Reyna,M/AM (LC),Borussia Dortmund,Bundesliga,Germany (Bundesliga),USA,183,76,16,Right,AM (C),AP,4900000,55
2255,Isco,M/AM (RLC),R. Madrid,Spanish First Division,Spain (First Division),ESP,176,79,27,Right,AM (C),AM,55000000,210000
2250,Luka Modric,M/AM (C),R. Madrid,Spanish First Division,Spain (First Division),CRO,172,67,33,Right,M (C),DLP,17750000,400000
3967,Michael Essien,"DM, M (C)",Sabail,Azeri Premier League,Azerbaijan (Premier League),GHA,178,84,36,Right,DM,DLP,18000,0
618,Raheem Sterling,M/AM (RL),Man City,English Premier Division,England (Premier Division),ENG,170,70,24,Right,AM (R),W,74000000,200000
629,Wayne Rooney,"DM, M/AM (C), ST (C)",Derby,Sky Bet Championship,England (Sky Bet Championship),ENG,178,78,33,Right,DM,DLP,4400000,50000
5220,Kai Havertz,M/AM (C),Chelsea,English Premier Division,England (Premier Division),GER,186,77,20,Left,AM (C),AP,0,170000
617,David Silva,M/AM (RLC),Real Sociedad,Spanish First Division,Spain (First Division),ESP,170,67,33,Left,M (C),AP,22000000,105000
646,Christian Eriksen,"M (C), AM (LC)",Inter,Italian Serie A,Italy (Serie A),DEN,182,76,27,Either,AM (C),AP,52000000,230000
546,David De Gea,GK,Man Utd,English Premier Division,England (Premier Division),ESP,193,76,28,Right,GK,G,48500000,350000
6345,Jadon Sancho,M/AM (RL),Borussia Dortmund,Bundesliga,Germany (Bundesliga),ENG,180,76,19,Right,M (L),IW,43500000,99000
2261,Jan Oblak,GK,A. Madrid,Spanish First Division,Spain (First Division),SVN,189,84,26,Right,GK,SK,50000000,180000
2370,Karim Benzema,ST (C),R. Madrid,Spanish First Division,Spain (First Division),FRA,185,82,31,Either,ST (C),DLF,63000000,275000
1791,Trent Alexander-Arnold,"D/WB (R), DM, M (C)",Liverpool,English Premier Division,England (Premier Division),ENG,180,70,20,Right,D (R),CWB,52000000,75000
222,Arturo Vidal,"DM, M (C)",Inter,Italian Serie A,Italy (Serie A),CHI,180,75,32,Right,M (C),BBM,33500000,165000
1740,Paul Pogba,M/AM (C),Man Utd,English Premier Division,England (Premier Division),FRA,191,84,26,Right,M (C),AP,64000000,300000
2369,Toni Kroos,"DM, M (C)",R. Madrid,Spanish First Division,Spain (First Division),GER,183,76,29,Either,M (C),DLP,62000000,325000
8145,Troy Parrott,ST (C),Ipswich,Sky Bet League One,England (Sky Bet League One),IRL,183,73,17,Right,ST (C),CF,7000000,10000
5543,Gabriel Jesus,"AM (RL), ST (C)",Man City,English Premier Division,England (Premier Division),BRA,179,73,22,Right,ST (C),AF,49000000,90000
5221,Leon Bailey,M/AM (RL),Bayer 04,Bundesliga,Germany (Bundesliga),JAM,180,75,21,Left,M (R),IW,32500000,66000
1824,Maicon,D/WB (R),Unknown,Hong Kong Premier League,Hong Kong (China PR) (Premier League),BRA,186,82,37,Right,D (R),CWB,0,0
556,Marcus Rashford,"AM (L), ST (C)",Man Utd,English Premier Division,England (Premier Division),ENG,184,77,21,Right,AM (L),IW,43000000,180000
692,Oscar,"M (C), AM (RC)",SIPG,Chinese Super League,China (Super League),BRA,181,71,27,Right,AM (C),AP,39000000,550000
6055,Phil Foden,M/AM (C),Man City,English Premier Division,England (Premier Division),ENG,171,64,19,Left,AM (C),AP,47000000,30000
482,Roberto Firmino,"AM (RLC), ST (C)",Liverpool,English Premier Division,England (Premier Division),BRA,181,76,27,Right,ST (C),DLF,63000000,180000
391,David Alaba,"D (LC), WB (L), M (C)",FC Bayern,Bundesliga,Germany (Bundesliga),AUT,178,72,27,Left,D (L),FB,66000000,165000
3294,Edinson Cavani,ST (C),Man Utd,English Premier Division,England (Premier Division),URU,184,71,32,Right,ST (C),P,51000000,325000
1576,Giorgio Chiellini,D (C),Juventus,Italian Serie A,Italy (Serie A),ITA,187,85,34,Left Only,D (C),CD,5750000,105000
554,Juan Mata,AM (RC),Man Utd,English Premier Division,England (Premier Division),ESP,171,65,31,Left,AM (C),AP,11750000,135000
1513,Mauro Icardi,ST (C),Paris SG,Ligue 1 Conforama,France (Ligue 1 Conforama),ARG,181,75,26,Right,ST (C),P,64000000,170000
2246,Sergio Ramos,D (C),R. Madrid,Spanish First Division,Spain (First Division),ESP,184,83,33,Right,D (C),BPD,24000000,475000
3288,Thiago Silva,D (C),Chelsea,English Premier Division,England (Premier Division),BRA,183,79,34,Right,D (C),BPD,0,350000
6942,Arthur,"DM, M/AM (C)",Juventus,Italian Serie A,Italy (Serie A),BRA,172,67,22,Right,M (C),DLP,59000000,155000
2498,Aymeric Laporte,D (C),Man City,English Premier Division,England (Premier Division),FRA,191,86,25,Left,D (C),BPD,57000000,120000
7359,Eduardo Camavinga,"DM, M (C)",Rennes,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,182,68,16,Left,M (C),DLP,24500000,17750
6986,Hamed Junior Traore,M/AM (C),Sassuolo,Italian Serie A,Italy (Serie A),CIV,184,78,19,Right,AM (C),AP,8750000,15250
6816,Jean-Clair Todibo,"D (C), DM",OGC Nice,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,190,81,19,Right,D (C),BPD,8500000,20500
223,Joshua Kimmich,"D/WB (R), DM, M (C)",FC Bayern,Bundesliga,Germany (Bundesliga),GER,176,70,24,Right,D (R),WB,48500000,130000
8824,Jude Bellingham,M/AM (RLC),Borussia Dortmund,Bundesliga,Germany (Bundesliga),ENG,181,60,15,Right,M (C),MEZ,7000000,58000
335,Leon Goretzka,"DM, M/AM (C)",FC Bayern,Bundesliga,Germany (Bundesliga),GER,189,79,24,Right,M (C),BBM,28500000,135000
1287,Leonardo Bonucci,D (C),Juventus,Italian Serie A,Italy (Serie A),ITA,190,86,32,Right,D (C),BPD,32000000,170000
5569,Rhian Brewster,"AM (RL), ST (C)",Sheff Utd,English Premier Division,England (Premier Division),ENG,180,73,19,Right Only,ST (C),AF,14250000,55000
6108,Rodrigo Bentancur,"DM, M (C)",Juventus,Italian Serie A,Italy (Serie A),URU,187,78,21,Right,M (C),DLP,31500000,77000
594,Romelu Lukaku,ST (C),Inter,Italian Serie A,Italy (Serie A),BEL,191,94,26,Left,ST (C),PF,56000000,190000
1543,Sergej Milinkovic-Savic,M/AM (C),Lazio,Italian Serie A,Italy (Serie A),SRB,191,82,24,Right,M (C),BBM,56000000,77000
393,Douglas Costa,"M (RL), AM (RLC)",FC Bayern,Bundesliga,Germany (Bundesliga),BRA,172,70,28,Left,AM (L),W,57000000,185000
521,Emmanuel Adebayor,ST (C),Olimpia,Paraguayan First Division,Paraguay (First Division),TOG,190,75,35,Right,ST (C),DLF,62000,3600
261,Julian Brandt,M/AM (RLC),Borussia Dortmund,Bundesliga,Germany (Bundesliga),GER,186,82,23,Right,M (L),IW,40500000,115000
319,Marco Reus,"M (RL), AM (RLC)",Borussia Dortmund,Bundesliga,Germany (Bundesliga),GER,180,75,30,Right,M (L),IW,61000000,200000
7490,Mason Greenwood,"AM (R), ST (C)",Man Utd,English Premier Division,England (Premier Division),ENG,185,75,17,Either,ST (C),AF,30000000,25000
488,Philippe Coutinho,M/AM (LC),Barcelona,Spanish First Division,Spain (First Division),BRA,172,71,27,Either,AM (C),AM,60000000,375000
2245,Raphael Varane,D (C),R. Madrid,Spanish First Division,Spain (First Division),FRA,191,82,26,Right,D (C),BPD,54000000,170000
453,Son Heung-Min,"M (R), AM (RL), ST (C)",Tottenham,English Premier Division,England (Premier Division),KOR,183,77,26,Either,AM (L),IW,66000000,95000
2254,Mateo Kovacic,"DM, M/AM (C)",Chelsea,English Premier Division,England (Premier Division),CRO,178,78,25,Right,M (C),DLP,0,150000
1376,Kalidou Koulibaly,D (C),Napoli,Italian Serie A,Italy (Serie A),SEN,187,89,28,Right,D (C),CD,55000000,185000
373,Mats Hummels,D (C),Borussia Dortmund,Bundesliga,Germany (Bundesliga),GER,191,92,30,Right,D (C),BPD,53000000,165000
1290,Miralem Pjanic,"DM, M/AM (C)",Barcelona,Spanish First Division,Spain (First Division),BIH,178,72,29,Right,M (C),DLP,67000000,215000
7208,Samuel Chukwueze,"M (R), AM (RL)",Villarreal,Spanish First Division,Spain (First Division),NGA,172,70,20,Left Only,M (R),IW,10500000,17250
2095,Sergio Busquets,"DM, M (C)",Barcelona,Spanish First Division,Spain (First Division),ESP,189,76,30,Right,DM,DLP,49500000,250000
553,Anthony Martial,"AM (L), ST (C)",Man Utd,English Premier Division,England (Premier Division),FRA,181,76,23,Right,AM (L),IF,37000000,180000
3059,Axel Witsel,"DM, M (C)",Borussia Dortmund,Bundesliga,Germany (Bundesliga),BEL,186,81,30,Right,DM,DLP,35000000,125000
1228,Bruno Fernandes,"M (C), AM (RC)",Man Utd,English Premier Division,England (Premier Division),POR,180,69,24,Right,AM (C),AM,57000000,100000
2248,Casemiro,"DM, M (C)",R. Madrid,Spanish First Division,Spain (First Division),BRA,185,84,27,Right,M (C),BBM,52000000,200000
1115,Goran Pandev,"AM (RC), ST (C)",Genoa,Italian Serie A,Italy (Serie A),MKD,184,74,35,Left,ST (C),DLF,400000,10750
637,Hugo Lloris,GK,Tottenham,English Premier Division,England (Premier Division),FRA,188,82,32,Left Only,GK,SK,31500000,100000
675,Jack Grealish,M/AM (RLC),Aston Villa,English Premier Division,England (Premier Division),ENG,178,64,23,Right,M (L),IW,55000000,60000
586,John Stones,D (C),Man City,English Premier Division,England (Premier Division),ENG,188,72,25,Right,D (C),BPD,37000000,100000
6228,Luka Jovic,ST (C),Eintracht Frankfurt,Bundesliga,Germany (Bundesliga),SRB,181,79,21,Either,ST (C),P,45000000,165000
1381,Marek Hamsik,M/AM (C),IFK Goteborg,Swedish Premier Division,Sweden (Premier Division),SVK,183,79,31,Either,M (C),AP,1500000,3500
3297,Marquinhos,"D (C), DM",Paris SG,Ligue 1 Conforama,France (Ligue 1 Conforama),BRA,183,75,25,Right,D (C),BPD,44500000,240000
1223,Milan Skriniar,D (C),Inter,Italian Serie A,Italy (Serie A),SVK,187,83,24,Right,D (C),CD,32000000,92000
318,Pierre-Emerick Aubameyang,"AM (RL), ST (C)",Arsenal,English Premier Division,England (Premier Division),GAB,187,80,30,Right,ST (C),AF,65000000,180000
1251,Radja Nainggolan,M/AM (C),Cagliari,Italian Serie A,Italy (Serie A),BEL,176,77,31,Right,M (C),MEZ,32500000,92000
7958,Sandro Tonali,"DM, M (C)",Milan,Italian Serie A,Italy (Serie A),ITA,181,79,19,Right,DM,DLP,5750000,7750
7969,Sebastiano Esposito,ST (C),Inter,Italian Serie A,Italy (Serie A),ITA,186,75,16,Right,ST (C),AF,4000000,220
993,Serge Gnabry,"M/AM (RL), ST (C)",FC Bayern,Bundesliga,Germany (Bundesliga),GER,173,73,23,Either,AM (L),IF,60000000,115000
6936,Thomas Basila,D (C),FC Nantes,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,187,77,20,Right,D (C),BPD,1600000,5750
639,Toby Alderweireld,D (RC),Tottenham,English Premier Division,England (Premier Division),BEL,187,91,30,Either,D (C),BPD,36500000,150000
5956,Youri Tielemans,M/AM (C),Leicester,English Premier Division,England (Premier Division),BEL,176,72,22,Right,M (C),DLP,42500000,120000
5138,Alejandro Pozo,"D/WB (R), M/AM (RL)",Eibar,Spanish First Division,Spain (First Division),ESP,174,59,20,Right,AM (R),W,800000,15250
4939,Alessandro Bastoni,D (C),Inter,Italian Serie A,Italy (Serie A),ITA,190,75,20,Left,D (C),BPD,22500000,9250
1892,Alex Meret,GK,Napoli,Italian Serie A,Italy (Serie A),ITA,190,80,22,Left Only,GK,SK,16750000,30500
7218,Cristian Romero,D (C),Genoa,Italian Serie A,Italy (Serie A),ARG,185,79,21,Right,D (C),CD,7250000,27500
5733,Houssem Aouar,M/AM (LC),OL,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,175,70,20,Right,AM (C),AP,9750000,59000
9243,Ilaix Moriba,"DM, M/AM (C)",Barcelona,Spanish First Division,Spain (First Division),GUI,185,68,16,Right,M (C),AP,3200000,11000
2091,Javier Mascherano,"D (C), DM, M (C)",Estudiantes (LP),Argentine Premier Division,Argentina (Premier Division),ARG,174,73,35,Right,DM,A,325000,5750
183,Jonathan Tah,D (C),Bayer 04,Bundesliga,Germany (Bundesliga),GER,192,90,23,Right,D (C),BPD,21500000,49500
6963,Justin Kluivert,M/AM (RL),RB Leipzig,Bundesliga,Germany (Bundesliga),NED,172,66,20,Either,AM (L),IW,14500000,55000
6495,Koke,M (RLC),A. Madrid,Spanish First Division,Spain (First Division),ESP,178,73,27,Right,M (C),DLP,54000000,275000
1789,Lewis Cook,"DM, M (C)",Bournemouth,Sky Bet Championship,England (Sky Bet Championship),ENG,176,71,22,Right,DM,DLP,14250000,40000
1393,Lorenzo Insigne,"M (L), AM (LC), ST (C)",Napoli,Italian Serie A,Italy (Serie A),ITA,163,59,28,Right,AM (L),IW,53000000,140000
1471,Lorenzo Pellegrini,M/AM (C),Roma,Italian Serie A,Italy (Serie A),ITA,185,82,23,Either,M (C),AP,36500000,61000
7416,Merih Demiral,D (C),Juventus,Italian Serie A,Italy (Serie A),TUR,192,85,21,Right Only,D (C),CD,20000000,55000
3567,Samuel Umtiti,D (C),Barcelona,Spanish First Division,Spain (First Division),FRA,182,75,25,Left,D (C),BPD,47000000,200000
8001,Takefusa Kubo,"M (R), AM (C), ST (C)",Getafe,Spanish First Division,Spain (First Division),JPN,167,60,18,Left,AM (C),AM,3400000,19750
5360,Weston McKennie,"DM, M (C)",Juventus,Italian Serie A,Italy (Serie A),USA,185,84,20,Right,M (C),BBM,19000000,41500
1244,Wojciech Szczesny,GK,Juventus,Italian Serie A,Italy (Serie A),POL,195,90,29,Right,GK,SK,42000000,210000
3229,Yoann Gourcuff,M/AM (C),Unknown,Unknown,France,FRA,185,82,32,Right,AM (C),AP,0,0
8383,Faustino Anjorin,M/AM (C),Chelsea,English Premier Division,England (Premier Division),ENG,185,81,17,Right,AM (C),SS,0,1500
1289,Alex Sandro,D/WB/M (L),Juventus,Italian Serie A,Italy (Serie A),BRA,180,80,28,Left,D (L),CWB,46500000,155000
7345,Alphonso Davies,"D/WB (L), M/AM (RL)",FC Bayern,Bundesliga,Germany (Bundesliga),CAN,181,72,18,Left Only,D (L),WB,8750000,33000
3363,Benjamin Pavard,D (RC),FC Bayern,Bundesliga,Germany (Bundesliga),FRA,186,76,23,Right,D (C),BPD,34000000,115000
8292,Dani Olmo,M/AM (LC),RB Leipzig,Bundesliga,Germany (Bundesliga),ESP,179,68,21,Right,AM (C),AP,22000000,66000
483,Daniel Sturridge,ST (C),Unknown,Unknown,England,ENG,183,79,29,Left,ST (C),DLF,0,0
802,Diego Costa,ST (C),Unknown,Unknown,Spain,ESP,186,87,30,Either,ST (C),PF,0,0
7354,Diego Lainez,AM (RL),Real Betis,Spanish First Division,Spain (First Division),MEX,167,58,19,Left,AM (L),W,2900000,7250
1253,Edin Dzeko,ST (C),Roma,Italian Serie A,Italy (Serie A),BIH,193,94,33,Either,ST (C),TM,16750000,155000
3420,Fabinho,"D (R), DM, M (C)",Liverpool,English Premier Division,England (Premier Division),BRA,188,78,25,Right,DM,DLP,54000000,120000
1433,Federico Chiesa,"M (R), AM (RL), ST (C)",Juventus,Italian Serie A,Italy (Serie A),ITA,175,70,21,Right,AM (R),W,25000000,52000
2094,Ivan Rakitic,"DM, M/AM (C)",Sevilla,Spanish First Division,Spain (First Division),CRO,184,78,31,Right,M (C),DLP,43500000,185000
1236,Patrik Schick,ST (C),Bayer 04,Bundesliga,Germany (Bundesliga),CZE,190,80,23,Left,ST (C),AF,22500000,75000
8226,Tariq Lamptey,"D/WB (RL), M (R)",Brighton,English Premier Division,England (Premier Division),ENG,164,62,18,Right,D (R),WB,24000000,5000
3425,Thomas Lemar,"M (L), AM (RLC)",A. Madrid,Spanish First Division,Spain (First Division),FRA,170,58,23,Left,AM (L),W,27000000,105000
5322,Victor Osimhen,ST (C),Napoli,Italian Serie A,Italy (Serie A),NGA,185,78,20,Right,ST (C),PF,56000000,125000
612,Vincent Kompany,D (C),Anderlecht,Belgian Pro League A,Belgium (Pro League A),BEL,190,85,33,Right,D (C),BPD,7250000,65000
1731,Claudio Bravo,GK,Real Betis,Argentine Premier Division,Argentina (Premier Division),CHI,184,80,36,Right,GK,SK,1900000,57000
1424,Federico Bernardeschi,"M (R), AM (RLC)",Juventus,Italian Serie A,Italy (Serie A),ITA,185,77,25,Left,AM (R),IW,41000000,125000
5681,Giovani Lo Celso,"DM, M (LC), AM (C)",Tottenham,English Premier Division,England (Premier Division),ARG,176,69,23,Left,AM (C),AP,47000000,100000
2243,Keylor Navas,GK,Paris SG,Ligue 1 Conforama,France (Ligue 1 Conforama),CRC,185,79,32,Right,GK,SK,36000000,200000
226,Kingsley Coman,M/AM (RL),FC Bayern,Bundesliga,Germany (Bundesliga),FRA,178,71,23,Right,M (R),W,38000000,135000
2234,Mikel Oyarzabal,AM (RLC),Real Sociedad,Spanish First Division,Spain (First Division),ESP,180,77,22,Left,AM (C),AP,40000000,37000
6174,Nikola Milenkovic,D (RC),Fiorentina,Italian Serie A,Italy (Serie A),SRB,195,90,21,Right,D (C),BPD,15500000,24500
6221,Pau Torres,D (C),Villarreal,Spanish First Division,Spain (First Division),ESP,191,80,22,Left,D (C),CD,24000000,13000
8584,Raul Moro,"M (R), AM (RC), ST (C)",Lazio,Italian Serie A,Italy (Serie A),ESP,172,60,16,Right,AM (R),W,160000,220
1292,Sami Khedira,"DM, M (C)",Hertha Berlin,Bundesliga,Germany (Bundesliga),GER,189,90,32,Right,M (C),CM,26500000,135000
6762,Yacine Adli,"M (C), AM (RC)",Bordeaux,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,186,73,18,Right,M (C),AP,2000000,15750
8067,Reece James,"D/WB (R), M (C)",Chelsea,English Premier Division,England (Premier Division),ENG,180,87,19,Right,D (R),FB,0,60000
5232,Alexander Isak,ST (C),Real Sociedad,Spanish First Division,Spain (First Division),SWE,190,74,19,Right,ST (C),AF,22500000,34000
2102,Arda Turan,M/AM (RLC),Galatasaray,Turkish Super League,Turkey (Super League),TUR,177,76,32,Right,AM (C),AP,6000000,39500
1384,Dries Mertens,"AM (RLC), ST (C)",Napoli,Italian Serie A,Italy (Serie A),BEL,169,61,32,Right,ST (C),AF,18500000,125000
1644,Giuseppe Rossi,ST (C),Real Salt Lake,Major League Soccer,U.S.A. (MLS),ITA,173,72,32,Left,ST (C),DLF,1100000,4000
2093,Jordi Alba,D/WB/M/AM (L),Barcelona,Spanish First Division,Spain (First Division),ESP,170,68,30,Left,D (L),CWB,43000000,160000
2257,Marcelo,D/WB/M (L),R. Madrid,Spanish First Division,Spain (First Division),BRA,174,80,31,Either,D (L),CWB,40000000,325000
1295,Mario Mandzukic,"AM (L), ST (C)",Al-Duhail,Qatari Stars League,Qatar (Stars League),CRO,190,85,33,Either,ST (C),TM,3800000,105000
5247,Naby Keita,"DM, M (C)",Liverpool,English Premier Division,England (Premier Division),GUI,172,64,24,Right,M (C),BBM,44500000,120000
6026,Richarlison,"AM (RL), ST (C)",Everton,English Premier Division,England (Premier Division),BRA,181,71,22,Either,AM (L),IW,32000000,110000
1465,Stefano Sensi,"DM, M (C)",Inter,Italian Serie A,Italy (Serie A),ITA,168,63,23,Right,M (C),AP,29000000,55000
7501,Amadou Haidara,"DM, M (C)",RB Leipzig,Bundesliga,Germany (Bundesliga),MLI,175,68,21,Right,M (C),MEZ,6250000,49500
1688,Andrew Robertson,D/WB (L),Liverpool,English Premier Division,England (Premier Division),SCO,178,64,25,Left Only,D (L),FB,46500000,80000
5298,Arne Maier,"DM, M/AM (C)",Arminia Bielefeld,Bundesliga,Germany (Bundesliga),GER,183,79,20,Right,M (C),DLP,4099999,16500
3603,Corentin Tolisso,"DM, M/AM (C)",FC Bayern,Bundesliga,Germany (Bundesliga),FRA,181,78,24,Right,M (C),BBM,33500000,115000
645,Dele Alli,"M (C), AM (LC), ST (C)",Tottenham,English Premier Division,England (Premier Division),ENG,188,80,23,Right,AM (C),AP,49000000,100000
8045,Eric Garcia,D (C),Man City,English Premier Division,England (Premier Division),ESP,182,79,18,Right,D (C),BPD,18000000,12000
2240,Esteban Granero,M/AM (C),Marbella,Spanish Second Division B4,Spain (Second Division B4),ESP,180,75,31,Right,M (C),AP,1000000,9250
6241,Federico Valverde,"DM, M (C)",R. Madrid,Spanish First Division,Spain (First Division),URU,181,74,20,Right,DM,DLP,28500000,51000
3895,Fernandinho,"D (C), DM, M (C)",Man City,English Premier Division,England (Premier Division),BRA,179,67,34,Right,M (C),MEZ,11250000,180000
1728,Fernando Llorente,ST (C),Napoli,Italian Serie A,Italy (Serie A),ESP,193,90,34,Either,ST (C),TM,2700000,63000
1516,Geoffrey Kondogbia,"DM, M (C)",A. Madrid,Spanish First Division,Spain (First Division),CTA,188,80,26,Left Only,M (C),BBM,21500000,105000
317,Henrikh Mkhitaryan,AM (RLC),Roma,Italian Serie A,Italy (Serie A),ARM,178,72,30,Right,AM (C),AP,44500000,180000
640,Jan Vertonghen,D (LC),SLB,Portuguese Premier League,Portugal (Premier League),BEL,189,88,32,Left,D (C),BPD,20500000,76000
741,Jordan Pickford,GK,Everton,English Premier Division,England (Premier Division),ENG,187,77,25,Left,GK,SK,24000000,120000
494,Laurent Koscielny,D (C),Bordeaux,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,186,75,33,Right,D (C),BPD,4400000,47500
1227,Lucas Torreira,"DM, M (C)",A. Madrid,Spanish First Division,Spain (First Division),URU,168,64,23,Right,M (C),DLP,29500000,75000
2117,Marco Asensio,AM (RLC),R. Madrid,Spanish First Division,Spain (First Division),ESP,182,76,23,Left,AM (L),W,42500000,140000
1817,Mario Balotelli,ST (C),Brescia,Italian Serie B,Italy (Serie B),ITA,189,88,28,Right,ST (C),CF,13000000,46000
4164,Mohamed Sissoko,"DM, M (C)",Unknown,Unknown,France,MLI,191,85,34,Right,DM,A,0,0
4536,Nani,AM (RLC),Orlando City,Major League Soccer,U.S.A. (MLS),POR,178,67,32,Either,AM (L),IW,2400000,37000
697,Nemanja Matic,"DM, M (C)",Man Utd,English Premier Division,England (Premier Division),SRB,194,85,30,Left,M (C),CM,14500000,120000
2335,Pablo Fornals,"DM, M/AM (C)",West Ham,English Premier Division,England (Premier Division),ESP,178,67,23,Right,AM (C),AP,27500000,80000
4750,Pedrinho,AM (RC),Corinthians,Brazilian National First Division,Brazil (First Division),BRA,172,65,21,Left,AM (R),IW,5250000,8000
2258,Pepe,D (C),FCP,Portuguese Premier League,Portugal (Premier League),POR,188,81,36,Right,D (C),CD,2300000,74000
3303,Ricardo Pereira,D/WB/AM (R),Leicester,English Premier Division,England (Premier Division),POR,175,70,25,Right,D (R),WB,31500000,70000
2496,Rodri,"DM, M (C)",Man City,English Premier Division,England (Premier Division),ESP,191,75,23,Right,DM,DLP,44500000,120000
2381,Rodrigo,"AM (RL), ST (C)",Leeds,English Premier Division,England (Premier Division),ESP,182,77,28,Left,ST (C),AF,41000000,70000
8285,Sander Berge,"DM, M/AM (C)",Sheff Utd,English Premier Division,England (Premier Division),NOR,191,88,21,Right,M (C),DLP,23000000,40000
2104,Sergi Roberto,"D/WB (R), DM, M (RC)",Barcelona,Spanish First Division,Spain (First Division),ESP,178,68,27,Right,M (C),BBM,52000000,165000
1713,Viktor Fischer,"M (L), AM (LC), ST (C)",FC Kobenhavn,3F Superliga,Denmark (3F Superliga),DEN,181,80,25,Either,M (L),IW,3200000,14500
