gameID,TeamID,teamName,League,Season,Date,Time,Location,goalsScored,goalsCondeced,xGoals,shots,shotsOnTarget,deep,ppda,fouls,corners,yellowCards,redCards,result,probWin,HTGoals,managerStintID,managerName,nationality,club,from,until,durationInDays 
86,80,Chelsea,Premier League,2015,08/08/2015,20:30:00,h,2,2,0.643959999,11,3,10,10.36359978,15,4,1,1,D,0.030400001,2,27,Jose Mourinho,Portugal,Chelsea,03-Jun-13,17-Dec-15,927
86,84,Swansea,Premier League,2015,08/08/2015,20:30:00,a,2,2,2.592030048,17,10,5,8.833299637,16,8,3,0,D,0.877200007,1,137,Garry Monk,England,Swansea,04-Feb-14,09-Dec-15,673
87,86,Newcastle United,Premier League,2015,09/08/2015,16:30:00,h,2,2,1.546129942,9,4,3,12.72220039,9,6,2,0,D,0.438600004,1,96,Steve McClaren,England,Newcastle United,10-Jun-15,11-Mar-16,275
87,74,Southampton,Premier League,2015,09/08/2015,16:30:00,a,2,2,1.252900004,14,4,5,7,12,6,4,0,D,0.244900003,1,114,Ronald Koeman,Netherlands,Southampton,16-Jun-14,14-Jun-16,729
88,81,West Ham,Premier League,2015,09/08/2015,16:30:00,a,2,0,0.535960972,8,4,0,12.4545002,9,4,3,0,W,0.142299995,1,168,Slaven Bilic,Croatia,West Ham,09-Jun-15,06-Nov-17,881
88,83,Arsenal,Premier League,2015,09/08/2015,16:30:00,h,0,2,1.331660032,22,6,11,8.166700363,12,5,1,0,L,0.575100005,0,4,Arsene Wenger,France,Arsenal,01-Oct-96,13-May-18,7894
89,87,Liverpool,Premier League,2015,09/08/2015,19:00:00,a,1,0,0.329872996,8,3,5,9.346199989,16,5,4,0,W,0.206400007,0,76,Brendan Rodgers,Northern Ireland,Liverpool,01-Jun-12,04-Oct-15,1220
89,85,Stoke,Premier League,2015,09/08/2015,19:00:00,h,0,1,0.381274015,7,1,2,11.91300011,9,3,2,0,L,0.248199999,0,118,Mark Hughes,Wales,Stoke,30-May-13,06-Jan-18,1682
90,88,Manchester City,Premier League,2015,10/08/2015,23:00:00,a,3,0,1.924200058,20,7,8,8.086999893,9,6,1,0,W,0.768700004,2,80,Manuel Pellegrini,Chile,Manchester City,14-Jun-13,30-Jun-16,1112
90,76,West Bromwich Albion,Premier League,2015,10/08/2015,23:00:00,h,0,3,0.435238004,9,2,4,23.29409981,12,6,4,0,L,0.061500002,0,166,Tony Pulis,Wales,West Bromwich Albion,01-Jan-15,20-Nov-17,1054
91,89,Manchester United,Premier League,2015,14/08/2015,22:45:00,a,1,0,0.660404027,9,2,5,9.5,10,5,2,0,W,0.429100007,1,83,Louis van Gaal,Netherlands,Manchester United,14-Jul-14,23-May-16,679
91,71,Aston Villa,Premier League,2015,14/08/2015,22:45:00,h,0,1,0.219117999,5,1,3,10.0333004,14,3,2,0,L,0.105599999,0,11,Tim Sherwood,England,Aston Villa,14-Feb-15,25-Oct-15,253
92,74,Southampton,Premier League,2015,15/08/2015,15:45:00,h,0,3,1.062139988,17,4,10,8.826100349,11,9,4,0,L,0.253600001,0,114,Ronald Koeman,Netherlands,Southampton,16-Jun-14,14-Jun-16,729
92,72,Everton,Premier League,2015,15/08/2015,15:45:00,a,3,0,1.39628005,10,4,5,15.8125,10,9,2,0,W,0.461899996,2,48,Roberto Martinez,Spain,Everton,05-Jun-13,12-May-16,1072
93,77,Sunderland,Premier League,2015,15/08/2015,18:00:00,h,1,3,0.329127997,6,2,2,10.18179989,7,6,1,0,L,0.050999999,0,122,Dick Advocaat,Netherlands,Sunderland,17-Mar-15,04-Oct-15,201
93,79,Norwich,Premier League,2015,15/08/2015,18:00:00,a,3,1,1.716860056,18,6,6,10.66670036,7,6,2,0,W,0.764500022,2,101,Alex Neil,Scotland,Norwich,09-Jan-15,10-Mar-17,791
94,84,Swansea,Premier League,2015,15/08/2015,18:00:00,h,2,0,1.974239945,19,6,4,6.235300064,11,4,2,0,W,0.916499972,1,137,Garry Monk,England,Swansea,04-Feb-14,09-Dec-15,673
94,86,Newcastle United,Premier League,2015,15/08/2015,18:00:00,a,0,2,0.113109,4,2,0,34.33330154,8,4,1,1,L,0.0063,0,96,Steve McClaren,England,Newcastle United,10-Jun-15,11-Mar-16,275
95,82,Tottenham,Premier League,2015,15/08/2015,18:00:00,h,2,2,1.706140041,13,7,1,10.125,15,4,2,0,D,0.161400005,2,142,Mauricio Pochettino,Argentina,Tottenham,27-May-14,19-Nov-19,2002
95,85,Stoke,Premier League,2015,15/08/2015,18:00:00,a,2,2,2.809560061,15,7,5,11.60709953,11,3,2,0,D,0.646099985,0,118,Mark Hughes,Wales,Stoke,30-May-13,06-Jan-18,1682
96,76,West Bromwich Albion,Premier League,2015,15/08/2015,18:00:00,a,0,0,0.684036016,6,0,4,11.5,10,4,2,0,D,0.289499998,0,166,Tony Pulis,Wales,West Bromwich Albion,01-Jan-15,20-Nov-17,1054
96,90,Watford,Premier League,2015,15/08/2015,18:00:00,h,0,0,0.760847986,16,5,3,5.952400208,13,2,1,0,D,0.328599989,0,153,Quique Sanchez Flores,Spain,Watford,05-Jun-15,15-May-16,345
97,81,West Ham,Premier League,2015,15/08/2015,18:00:00,h,1,2,0.513490975,10,3,10,6.375,11,8,1,1,L,0.0482,0,168,Slaven Bilic,Croatia,West Ham,09-Jun-15,06-Nov-17,881
97,75,Leicester,Premier League,2015,15/08/2015,18:00:00,a,2,1,1.809389949,10,5,5,15.0454998,12,4,3,0,W,0.780799985,2,70,Claudio Ranieri,Italy,Leicester,13-Jul-15,23-Feb-17,591
98,83,Arsenal,Premier League,2015,16/08/2015,16:30:00,a,2,1,2.055419922,20,7,15,6.965499878,12,6,1,0,W,0.658399999,1,4,Arsene Wenger,France,Arsenal,01-Oct-96,13-May-18,7894
98,78,Crystal Palace,Premier League,2015,16/08/2015,16:30:00,h,1,2,0.964133978,11,4,5,11.70829964,14,6,1,0,L,0.1303,1,37,Alan Pardew,England,Crystal Palace,02-Jan-15,22-Dec-16,720
99,88,Manchester City,Premier League,2015,16/08/2015,19:00:00,h,3,0,2.185790062,18,8,15,5.727300167,19,5,4,0,W,0.814199984,1,80,Manuel Pellegrini,Chile,Manchester City,14-Jun-13,30-Jun-16,1112
99,80,Chelsea,Premier League,2015,16/08/2015,19:00:00,a,0,3,0.482423007,10,3,6,6.620699883,13,1,2,0,L,0.046700001,0,27,Jose Mourinho,Portugal,Chelsea,03-Jun-13,17-Dec-15,927
100,73,Bournemouth,Premier League,2015,17/08/2015,23:00:00,a,0,1,0.460804999,13,2,6,10,18,8,4,0,L,0.045600001,0,13,Eddie Howe,England,Bournemouth,12-Oct-12,01-Aug-20,2850
100,87,Liverpool,Premier League,2015,17/08/2015,23:00:00,h,1,0,2.150619984,18,2,9,6.413799763,11,6,1,0,W,0.813300014,1,76,Brendan Rodgers,Northern Ireland,Liverpool,01-Jun-12,04-Oct-15,1220
101,89,Manchester United,Premier League,2015,22/08/2015,15:45:00,h,0,0,1.24909997,20,8,12,4.709700108,15,11,2,0,D,0.58890003,0,83,Louis van Gaal,Netherlands,Manchester United,14-Jul-14,23-May-16,679
101,86,Newcastle United,Premier League,2015,22/08/2015,15:45:00,a,0,0,0.4384,7,0,1,18.4375,11,5,2,0,D,0.119099997,0,96,Steve McClaren,England,Newcastle United,10-Jun-15,11-Mar-16,275
102,79,Norwich,Premier League,2015,22/08/2015,18:00:00,h,1,1,3.148880005,20,7,4,9.633299828,16,9,4,0,D,0.901300013,1,101,Alex Neil,Scotland,Norwich,09-Jan-15,10-Mar-17,791
102,85,Stoke,Premier League,2015,22/08/2015,18:00:00,a,1,1,0.698228002,6,1,2,10.92860031,5,0,1,0,D,0.024700001,1,118,Mark Hughes,Wales,Stoke,30-May-13,06-Jan-18,1682
103,77,Sunderland,Premier League,2015,22/08/2015,18:00:00,h,1,1,0.569426,10,2,2,10.10340023,16,3,4,0,D,0.1219,0,122,Dick Advocaat,Netherlands,Sunderland,17-Mar-15,04-Oct-15,201
103,84,Swansea,Premier League,2015,22/08/2015,18:00:00,a,1,1,1.560639977,20,9,4,8.578900337,9,4,2,0,D,0.63499999,1,137,Garry Monk,England,Swansea,04-Feb-14,09-Dec-15,673
104,71,Aston Villa,Premier League,2015,22/08/2015,18:00:00,a,1,2,0.765277982,11,2,6,8.476200104,15,4,3,0,L,0.217399999,0,11,Tim Sherwood,England,Aston Villa,14-Feb-15,25-Oct-15,253
104,78,Crystal Palace,Premier League,2015,22/08/2015,18:00:00,h,2,1,1.238070011,16,6,9,8.166700363,12,6,3,0,W,0.474700004,0,37,Alan Pardew,England,Crystal Palace,02-Jan-15,22-Dec-16,720
105,82,Tottenham,Premier League,2015,22/08/2015,18:00:00,a,1,1,1.89436996,19,6,5,4.947400093,14,7,4,0,D,0.659600019,0,142,Mauricio Pochettino,Argentina,Tottenham,27-May-14,19-Nov-19,2002
105,75,Leicester,Premier League,2015,22/08/2015,18:00:00,h,1,1,0.829011977,13,2,5,15.57890034,7,2,1,0,D,0.121299997,0,70,Claudio Ranieri,Italy,Leicester,13-Jul-15,23-Feb-17,591
106,73,Bournemouth,Premier League,2015,22/08/2015,18:00:00,a,4,3,2.855400085,15,7,7,10.72220039,11,4,0,0,W,0.720200002,2,13,Eddie Howe,England,Bournemouth,12-Oct-12,01-Aug-20,2850
106,81,West Ham,Premier League,2015,22/08/2015,18:00:00,h,3,4,1.502030015,10,4,3,9.909099579,8,5,0,1,L,0.104099996,0,168,Slaven Bilic,Croatia,West Ham,09-Jun-15,06-Nov-17,881
107,76,West Bromwich Albion,Premier League,2015,23/08/2015,16:30:00,h,2,3,1.426220059,15,6,4,14.82349968,9,8,2,0,L,0.221599996,1,166,Tony Pulis,Wales,West Bromwich Albion,01-Jan-15,20-Nov-17,1054
107,80,Chelsea,Premier League,2015,23/08/2015,16:30:00,a,3,2,2.027780056,15,5,8,17.5,12,7,1,1,W,0.517199993,3,27,Jose Mourinho,Portugal,Chelsea,03-Jun-13,17-Dec-15,927
108,88,Manchester City,Premier League,2015,23/08/2015,19:00:00,a,2,0,1.57983005,16,9,9,9.359999657,7,7,3,0,W,0.653199971,0,80,Manuel Pellegrini,Chile,Manchester City,14-Jun-13,30-Jun-16,1112
108,72,Everton,Premier League,2015,23/08/2015,19:00:00,h,0,2,0.579338014,10,1,3,19.25,5,8,0,0,L,0.106299996,0,48,Roberto Martinez,Spain,Everton,05-Jun-13,12-May-16,1072
109,74,Southampton,Premier League,2015,23/08/2015,19:00:00,a,0,0,0.683589995,14,5,2,7.407400131,11,2,2,0,D,0.165299997,0,114,Ronald Koeman,Netherlands,Southampton,16-Jun-14,14-Jun-16,729
109,90,Watford,Premier League,2015,23/08/2015,19:00:00,h,0,0,1.175879955,13,0,2,9.045499802,10,5,0,0,D,0.522899985,0,153,Quique Sanchez Flores,Spain,Watford,05-Jun-15,15-May-16,345
110,87,Liverpool,Premier League,2015,24/08/2015,23:00:00,a,0,0,1.292060018,15,8,9,10.42860031,13,8,4,0,D,0.225799993,0,76,Brendan Rodgers,Northern Ireland,Liverpool,01-Jun-12,04-Oct-15,1220
110,83,Arsenal,Premier League,2015,24/08/2015,23:00:00,h,0,0,1.837550044,19,5,14,5.615399837,2,7,1,0,D,0.511399984,0,4,Arsene Wenger,France,Arsenal,01-Oct-96,13-May-18,7894
111,86,Newcastle United,Premier League,2015,29/08/2015,15:45:00,h,0,1,0.031969398,1,0,0,21.82349968,15,0,6,1,L,0.002,0,96,Steve McClaren,England,Newcastle United,10-Jun-15,11-Mar-16,275
111,83,Arsenal,Premier League,2015,29/08/2015,15:45:00,a,1,0,2.339479923,22,9,15,5.535699844,8,9,1,0,W,0.934800029,0,4,Arsene Wenger,France,Arsenal,01-Oct-96,13-May-18,7894
112,85,Stoke,Premier League,2015,29/08/2015,18:00:00,h,0,1,1.217710018,13,5,2,23.88890076,4,6,1,2,L,0.472900003,0,118,Mark Hughes,Wales,Stoke,30-May-13,06-Jan-18,1682
112,76,West Bromwich Albion,Premier League,2015,29/08/2015,18:00:00,a,1,0,0.881193995,15,5,8,8.967700005,9,5,4,0,W,0.202299997,1,166,Tony Pulis,Wales,West Bromwich Albion,01-Jan-15,20-Nov-17,1054
113,77,Sunderland,Premier League,2015,29/08/2015,18:00:00,a,2,2,0.368847996,7,3,3,7.349999905,14,4,1,0,D,0.024800001,1,122,Dick Advocaat,Netherlands,Sunderland,17-Mar-15,04-Oct-15,201
113,71,Aston Villa,Premier League,2015,29/08/2015,18:00:00,h,2,2,2.274060011,21,6,12,8.636400223,10,5,2,0,D,0.87470001,2,11,Tim Sherwood,England,Aston Villa,14-Feb-15,25-Oct-15,253
114,73,Bournemouth,Premier League,2015,29/08/2015,18:00:00,h,1,1,0.321431994,5,2,4,7.050000191,9,4,2,0,D,0.074699998,1,13,Eddie Howe,England,Bournemouth,12-Oct-12,01-Aug-20,2850
114,75,Leicester,Premier League,2015,29/08/2015,18:00:00,a,1,1,0.919097006,4,2,6,5.166699886,19,4,4,0,D,0.597500026,0,70,Claudio Ranieri,Italy,Leicester,13-Jul-15,23-Feb-17,591
115,80,Chelsea,Premier League,2015,29/08/2015,18:00:00,h,1,2,1.279060006,26,9,10,8.199999809,9,7,1,0,L,0.177900001,0,27,Jose Mourinho,Portugal,Chelsea,03-Jun-13,17-Dec-15,927
115,78,Crystal Palace,Premier League,2015,29/08/2015,18:00:00,a,2,1,2.192830086,13,5,8,18.5,15,7,1,0,W,0.605099976,0,37,Alan Pardew,England,Crystal Palace,02-Jan-15,22-Dec-16,720
116,87,Liverpool,Premier League,2015,29/08/2015,18:00:00,h,0,3,0.561737001,13,1,12,5.965499878,17,5,3,1,L,0.197799996,0,76,Brendan Rodgers,Northern Ireland,Liverpool,01-Jun-12,04-Oct-15,1220
116,81,West Ham,Premier League,2015,29/08/2015,18:00:00,a,3,0,0.972169995,12,5,1,12.09090042,11,7,1,1,W,0.467000008,2,168,Slaven Bilic,Croatia,West Ham,09-Jun-15,06-Nov-17,881
117,90,Watford,Premier League,2015,29/08/2015,18:00:00,a,0,2,0.363602996,7,0,1,20.44440079,12,3,2,0,L,0.0669,0,153,Quique Sanchez Flores,Spain,Watford,05-Jun-15,15-May-16,345
117,88,Manchester City,Premier League,2015,29/08/2015,18:00:00,h,2,0,1.528949976,18,5,9,10.14290047,9,9,1,0,W,0.707400024,0,80,Manuel Pellegrini,Chile,Manchester City,14-Jun-13,30-Jun-16,1112
118,82,Tottenham,Premier League,2015,29/08/2015,20:30:00,h,0,0,1.999169946,20,6,11,7.4375,20,6,4,0,D,0.714299977,0,142,Mauricio Pochettino,Argentina,Tottenham,27-May-14,19-Nov-19,2002
118,72,Everton,Premier League,2015,29/08/2015,20:30:00,a,0,0,0.694692016,8,3,6,18.53849983,9,2,1,0,D,0.091399997,0,48,Roberto Martinez,Spain,Everton,05-Jun-13,12-May-16,1072
119,74,Southampton,Premier League,2015,30/08/2015,16:30:00,h,3,0,2.855010033,23,8,2,10.33329964,4,6,0,0,W,0.912899971,1,114,Ronald Koeman,Netherlands,Southampton,16-Jun-14,14-Jun-16,729
119,79,Norwich,Premier League,2015,30/08/2015,16:30:00,a,0,3,0.63943398,6,1,2,25.58329964,12,4,0,1,L,0.0094,0,101,Alex Neil,Scotland,Norwich,09-Jan-15,10-Mar-17,791
120,84,Swansea,Premier League,2015,30/08/2015,19:00:00,h,2,1,0.971183002,9,4,3,15.17389965,6,0,2,0,W,0.252600014,0,137,Garry Monk,England,Swansea,04-Feb-14,09-Dec-15,673
120,89,Manchester United,Premier League,2015,30/08/2015,19:00:00,a,1,2,1.280889988,11,4,9,6.89659977,15,1,2,0,L,0.436100006,0,83,Louis van Gaal,Netherlands,Manchester United,14-Jul-14,23-May-16,679
121,72,Everton,Premier League,2015,12/09/2015,15:45:00,h,3,1,1.180259943,14,9,4,15.04759979,12,7,2,0,W,0.518599987,2,48,Roberto Martinez,Spain,Everton,05-Jun-13,12-May-16,1072
121,80,Chelsea,Premier League,2015,12/09/2015,15:45:00,a,1,3,0.656048,15,2,7,7.615399837,12,14,2,0,L,0.181500003,1,27,Jose Mourinho,Portugal,Chelsea,03-Jun-13,17-Dec-15,927
122,85,Stoke,Premier League,2015,12/09/2015,18:00:00,a,0,2,0.191276997,8,3,2,15.90480042,13,1,1,0,L,0.0007,0,118,Mark Hughes,Wales,Stoke,30-May-13,06-Jan-18,1682
122,83,Arsenal,Premier League,2015,12/09/2015,18:00:00,h,2,0,4.426839828,29,12,20,6.760000229,6,13,1,0,W,0.99180001,1,4,Arsene Wenger,France,Arsenal,01-Oct-96,13-May-18,7894
123,88,Manchester City,Premier League,2015,12/09/2015,18:00:00,a,1,0,3.088829994,21,7,8,8.583299637,13,4,3,0,W,0.917400002,0,80,Manuel Pellegrini,Chile,Manchester City,14-Jun-13,30-Jun-16,1112
123,78,Crystal Palace,Premier League,2015,12/09/2015,18:00:00,h,0,1,0.743192971,10,2,2,8.625,13,4,2,0,L,0.017899999,0,37,Alan Pardew,England,Crystal Palace,02-Jan-15,22-Dec-16,720
124,90,Watford,Premier League,2015,12/09/2015,18:00:00,h,1,0,1.573330045,17,6,3,11.25930023,11,1,1,1,W,0.684000015,0,153,Quique Sanchez Flores,Spain,Watford,05-Jun-15,15-May-16,345
124,84,Swansea,Premier League,2015,12/09/2015,18:00:00,a,0,1,0.503008008,8,3,8,6.699999809,14,3,1,0,L,0.0867,0,137,Garry Monk,England,Swansea,04-Feb-14,09-Dec-15,673
125,74,Southampton,Premier League,2015,12/09/2015,18:00:00,a,0,0,1.007310033,15,4,7,8.555600166,5,5,0,0,D,0.518599987,0,114,Ronald Koeman,Netherlands,Southampton,16-Jun-14,14-Jun-16,729
125,76,West Bromwich Albion,Premier League,2015,12/09/2015,18:00:00,h,0,0,0.409143001,8,1,5,20.41180038,5,4,1,0,D,0.138699993,0,166,Tony Pulis,Wales,West Bromwich Albion,01-Jan-15,20-Nov-17,1054
126,79,Norwich,Premier League,2015,12/09/2015,18:00:00,h,3,1,1.331509948,12,4,7,9.961500168,10,4,2,0,W,0.656700015,1,101,Alex Neil,Scotland,Norwich,09-Jan-15,10-Mar-17,791
126,73,Bournemouth,Premier League,2015,12/09/2015,18:00:00,a,1,3,0.389494985,7,2,3,11.63160038,11,4,3,0,L,0.088399999,0,13,Eddie Howe,England,Bournemouth,12-Oct-12,01-Aug-20,2850
127,89,Manchester United,Premier League,2015,12/09/2015,20:30:00,h,3,1,1.462059975,9,3,4,9.777799606,6,4,1,0,W,0.491899997,0,83,Louis van Gaal,Netherlands,Manchester United,14-Jul-14,23-May-16,679
127,87,Liverpool,Premier League,2015,12/09/2015,20:30:00,a,1,3,1.02572,8,4,5,14.4762001,11,4,2,0,L,0.190099999,0,76,Brendan Rodgers,Northern Ireland,Liverpool,01-Jun-12,04-Oct-15,1220
128,77,Sunderland,Premier League,2015,13/09/2015,16:30:00,h,0,1,1.040699959,12,2,4,12.05560017,11,6,2,0,L,0.240099996,0,122,Dick Advocaat,Netherlands,Sunderland,17-Mar-15,04-Oct-15,201
128,82,Tottenham,Premier League,2015,13/09/2015,16:30:00,a,1,0,1.456150055,15,4,12,5.172399998,12,8,1,0,W,0.462300003,0,142,Mauricio Pochettino,Argentina,Tottenham,27-May-14,19-Nov-19,2002
129,75,Leicester,Premier League,2015,13/09/2015,19:00:00,h,3,2,1.349869967,21,6,11,7.151500225,8,4,2,0,W,0.455000013,0,70,Claudio Ranieri,Italy,Leicester,13-Jul-15,23-Feb-17,591
129,71,Aston Villa,Premier League,2015,13/09/2015,19:00:00,a,2,3,0.953181028,11,4,5,8.409099579,13,5,1,0,L,0.244599998,1,11,Tim Sherwood,England,Aston Villa,14-Feb-15,25-Oct-15,253
130,81,West Ham,Premier League,2015,14/09/2015,23:00:00,h,2,0,1.712820053,17,3,4,11.72000027,8,6,0,0,W,0.655499995,1,168,Slaven Bilic,Croatia,West Ham,09-Jun-15,06-Nov-17,881
130,86,Newcastle United,Premier League,2015,14/09/2015,23:00:00,a,0,2,0.716598988,14,4,4,8.222200394,11,7,2,0,L,0.111500002,0,96,Steve McClaren,England,Newcastle United,10-Jun-15,11-Mar-16,275
131,83,Arsenal,Premier League,2015,19/09/2015,15:45:00,a,0,2,0.775312006,9,2,5,13.18179989,11,5,1,2,L,0.085600004,0,4,Arsene Wenger,France,Arsenal,01-Oct-96,13-May-18,7894
131,80,Chelsea,Premier League,2015,19/09/2015,15:45:00,h,2,0,2.068700075,22,6,14,6.093800068,12,5,3,0,W,0.723500013,0,27,Jose Mourinho,Portugal,Chelsea,03-Jun-13,17-Dec-15,927
132,86,Newcastle United,Premier League,2015,19/09/2015,18:00:00,h,1,2,1.151139975,15,5,7,9.444399834,8,5,1,0,L,0.292800009,0,96,Steve McClaren,England,Newcastle United,10-Jun-15,11-Mar-16,275
132,90,Watford,Premier League,2015,19/09/2015,18:00:00,a,2,1,1.339609981,13,4,10,7.594600201,12,5,2,0,W,0.405999988,2,153,Quique Sanchez Flores,Spain,Watford,05-Jun-15,15-May-16,345
133,71,Aston Villa,Premier League,2015,19/09/2015,18:00:00,h,0,1,0.876718998,13,3,5,6.119999886,10,2,2,0,L,0.395900011,0,11,Tim Sherwood,England,Aston Villa,14-Feb-15,25-Oct-15,253
133,76,West Bromwich Albion,Premier League,2015,19/09/2015,18:00:00,a,1,0,0.632761002,11,6,2,8.41380024,11,7,3,0,W,0.233400002,1,166,Tony Pulis,Wales,West Bromwich Albion,01-Jan-15,20-Nov-17,1054
134,73,Bournemouth,Premier League,2015,19/09/2015,18:00:00,h,2,0,0.644334972,15,5,7,8.518500328,14,7,2,0,W,0.237499997,2,13,Eddie Howe,England,Bournemouth,12-Oct-12,01-Aug-20,2850
134,77,Sunderland,Premier League,2015,19/09/2015,18:00:00,a,0,2,0.854866982,9,2,2,9.269200325,15,3,4,1,L,0.399599999,0,122,Dick Advocaat,Netherlands,Sunderland,17-Mar-15,04-Oct-15,201
135,85,Stoke,Premier League,2015,19/09/2015,18:00:00,h,2,2,1.147169948,11,4,2,6.956500053,7,3,1,0,D,0.300900012,2,118,Mark Hughes,Wales,Stoke,30-May-13,06-Jan-18,1682
135,75,Leicester,Premier League,2015,19/09/2015,18:00:00,a,2,2,1.225819945,12,5,3,6,12,4,4,0,D,0.366699994,0,70,Claudio Ranieri,Italy,Leicester,13-Jul-15,23-Feb-17,591
136,84,Swansea,Premier League,2015,19/09/2015,18:00:00,h,0,0,0.864867985,12,3,4,8.576899529,12,2,2,0,D,0.155300006,0,137,Garry Monk,England,Swansea,04-Feb-14,09-Dec-15,673
136,72,Everton,Premier League,2015,19/09/2015,18:00:00,a,0,0,1.774580002,17,2,12,9,11,4,2,1,D,0.610099971,0,48,Roberto Martinez,Spain,Everton,05-Jun-13,12-May-16,1072
137,81,West Ham,Premier League,2015,19/09/2015,20:30:00,a,2,1,0.995272994,6,3,3,23.76919937,7,3,2,0,W,0.041499998,2,168,Slaven Bilic,Croatia,West Ham,09-Jun-15,06-Nov-17,881
137,88,Manchester City,Premier League,2015,19/09/2015,20:30:00,h,1,2,2.984649897,27,8,15,3.666699886,10,16,1,0,L,0.840799987,1,80,Manuel Pellegrini,Chile,Manchester City,14-Jun-13,30-Jun-16,1112
138,82,Tottenham,Premier League,2015,20/09/2015,16:30:00,h,1,0,1.015730023,21,6,10,5.176499844,9,6,1,0,W,0.473199993,0,142,Mauricio Pochettino,Argentina,Tottenham,27-May-14,19-Nov-19,2002
138,78,Crystal Palace,Premier League,2015,20/09/2015,16:30:00,a,0,1,0.538438976,12,4,5,10.17389965,11,5,2,0,L,0.185599998,0,37,Alan Pardew,England,Crystal Palace,02-Jan-15,22-Dec-16,720
139,74,Southampton,Premier League,2015,20/09/2015,19:00:00,h,2,3,1.836629987,15,8,7,17.45000076,6,5,2,0,L,0.419499993,1,114,Ronald Koeman,Netherlands,Southampton,16-Jun-14,14-Jun-16,729
139,89,Manchester United,Premier League,2015,20/09/2015,19:00:00,a,3,2,1.651190042,10,3,4,12.23530006,13,5,0,0,W,0.329899997,1,83,Louis van Gaal,Netherlands,Manchester United,14-Jul-14,23-May-16,679
140,87,Liverpool,Premier League,2015,20/09/2015,19:00:00,h,1,1,1.904469967,23,7,12,8.863599777,4,6,1,0,D,0.719500005,0,76,Brendan Rodgers,Northern Ireland,Liverpool,01-Jun-12,04-Oct-15,1220
140,79,Norwich,Premier League,2015,20/09/2015,19:00:00,a,1,1,0.556271017,7,2,3,15.19050026,13,2,2,0,D,0.080899999,0,101,Alex Neil,Scotland,Norwich,09-Jan-15,10-Mar-17,791
141,88,Manchester City,Premier League,2015,26/09/2015,15:45:00,a,1,4,1.578420043,22,8,17,10.89999962,6,9,1,0,L,0.220799997,1,80,Manuel Pellegrini,Chile,Manchester City,14-Jun-13,30-Jun-16,1112
141,82,Tottenham,Premier League,2015,26/09/2015,15:45:00,h,4,1,2.307990074,15,8,3,5.289500237,17,5,5,0,W,0.558399975,1,142,Mauricio Pochettino,Argentina,Tottenham,27-May-14,19-Nov-19,2002
142,74,Southampton,Premier League,2015,26/09/2015,18:00:00,h,3,1,1.554180026,17,6,10,11.70370007,18,4,3,0,W,0.365500003,1,114,Ronald Koeman,Netherlands,Southampton,16-Jun-14,14-Jun-16,729
